MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
1,worcester,northampton,15/16,1,13,12
2,newcastle,gloucester,15/16,1,27,39
3,harlequins,wasps,15/16,1,26,21
4,saracens,sale,15/16,1,41,3
5,bath,exeter-chiefs,15/16,1,19,17
6,london-irish,leicester,15/16,1,16,28
7,gloucester,saracens,15/16,2,15,17
8,sale,worcester,15/16,2,27,13
9,wasps,bath,15/16,2,16,9
10,northampton,newcastle,15/16,2,42,16
11,exeter-chiefs,london-irish,15/16,2,38,11
12,leicester,harlequins,15/16,2,22,19
13,saracens,london-irish,15/16,3,24,14
14,gloucester,worcester,15/16,3,24,22
15,bath,harlequins,15/16,3,28,38
16,sale,northampton,15/16,3,20,13
17,newcastle,exeter-chiefs,15/16,3,3,41
18,leicester,wasps,15/16,3,24,16
19,harlequins,sale,15/16,4,16,14
20,worcester,newcastle,15/16,4,28,20
21,northampton,saracens,15/16,4,6,12
22,london-irish,bath,15/16,4,14,45
23,exeter-chiefs,leicester,15/16,4,19,6
24,wasps,gloucester,15/16,4,23,3
25,northampton,gloucester,15/16,5,15,3
26,saracens,worcester,15/16,5,48,18
27,sale,newcastle,15/16,5,15,15
28,london-irish,wasps,15/16,5,15,33
29,exeter-chiefs,harlequins,15/16,5,26,25
30,leicester,bath,15/16,5,21,11
31,gloucester,sale,15/16,6,23,19
32,worcester,leicester,15/16,6,20,29
33,wasps,exeter-chiefs,15/16,6,27,41
34,harlequins,london-irish,15/16,6,38,7
35,bath,northampton,15/16,6,11,13
36,newcastle,saracens,15/16,6,3,38
37,london-irish,northampton,15/16,7,25,23
38,leicester,newcastle,15/16,7,22,10
39,exeter-chiefs,sale,15/16,7,33,17
40,wasps,saracens,15/16,7,16,26
41,harlequins,gloucester,15/16,7,39,39
42,bath,worcester,15/16,7,21,14
43,northampton,exeter-chiefs,15/16,8,8,3
44,saracens,leicester,15/16,8,26,6
45,sale,wasps,15/16,8,15,9
46,newcastle,bath,15/16,8,19,14
47,gloucester,london-irish,15/16,8,27,14
48,worcester,harlequins,15/16,8,20,24
49,leicester,northampton,15/16,9,30,27
50,harlequins,saracens,15/16,9,39,23
51,exeter-chiefs,gloucester,15/16,9,19,10
52,wasps,worcester,15/16,9,32,22
53,bath,sale,15/16,9,32,26
54,london-irish,newcastle,15/16,9,20,15
55,northampton,wasps,15/16,10,11,24
56,saracens,bath,15/16,10,19,13
57,sale,london-irish,15/16,10,38,10
58,gloucester,leicester,15/16,10,18,19
59,worcester,exeter-chiefs,15/16,10,15,30
60,newcastle,harlequins,15/16,10,26,19
61,bath,gloucester,15/16,11,11,15
62,wasps,newcastle,15/16,11,9,8
63,leicester,sale,15/16,11,3,10
64,harlequins,northampton,15/16,11,23,27
65,london-irish,worcester,15/16,11,20,13
66,exeter-chiefs,saracens,15/16,11,11,14
67,newcastle,leicester,15/16,12,26,14
68,worcester,bath,15/16,12,14,16
69,sale,exeter-chiefs,15/16,12,23,17
70,northampton,london-irish,15/16,12,35,7
71,gloucester,harlequins,15/16,12,28,6
72,saracens,wasps,15/16,12,23,64
73,harlequins,leicester,15/16,13,25,19
74,worcester,sale,15/16,13,31,23
