MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore,Date
1,bristol bears,doncaster knights,15/16,F,32,34,25/05/2016
2,doncaster knights,bristol bears,15/16,F,13,28,18/05/2016
3,bristol bears,bedford blues,15/16,SF,45,19,08/05/2016
4,doncaster knights,yorshire carnegie,15/16,SF,14,17,08/05/2016
5,bedford blues,bristol bears,15/16,SF,16,45,01/05/2016
6,yorshire carnegie,doncaster knights,15/16,SF,17,30,01/05/2016
7,birmingham moseley,london scottish,15/16,22,24,75,23/04/2016
8,bedford blues,bristol bears,15/16,22,6,39,23/04/2016
9,ealing trailfinders,rotherham titans,15/16,22,45,12,23/04/2016
10,jersey reds,yorshire carnegie,15/16,22,0,34,23/04/2016
11,london welsh,doncaster knights,15/16,22,24,19,23/04/2016
12,nottingham,cornish pirates,15/16,22,55,33,23/04/2016
13,cornish pirates,london welsh,15/16,21,38,38,17/04/2016
14,leeds tykes,bedford blues,15/16,21,37,27,17/04/2016
15,doncaster knights,bedford blues,15/16,21,28,24,16/04/2016
16,ealing trailfinders,jersey reds,15/16,21,30,24,16/04/2016
17,rotherham titans,london scottish,15/16,21,17,22,16/04/2016
18,bristol bears,birmingham moseley,15/16,21,24,22,15/04/2016
19,bedford blues,cornish pirates,15/16,20,54,46,02/04/2016
20,jersey reds,rotherham titans,15/16,20,44,27,02/04/2016
21,london scottish,bristol bears,15/16,20,16,21,02/04/2016
22,london welsh,yorshire carnegie,15/16,20,28,31,02/04/2016
23,birmingham moseley,doncaster knights,15/16,20,23,38,01/04/2016
24,nottingham,ealing trailfinders,15/16,20,22,18,01/04/2016
25,doncaster knights,bristol bears,15/16,19,29,31,27/03/2016
26,yorshire carnegie,bedford blues,15/16,19,35,20,27/03/2016
27,cornish pirates,birmingham moseley,15/16,19,32,0,26/03/2016
28,ealing trailfinders,london welsh,15/16,19,16,22,26/03/2016
29,rotherham titans,nottingham,15/16,19,22,12,26/03/2016
30,jersey reds,london scottish,15/16,19,22,20,25/03/2016
31,bristol bears,cornish pirates,15/16,18,29,24,06/03/2016
32,bedford blues,ealing trailfinders,15/16,18,33,24,05/03/2016
33,birmingham moseley,yorshire carnegie,15/16,18,12,28,05/03/2016
34,london scottish,doncaster knights,15/16,18,20,26,05/03/2016
35,london welsh,rotherham titans,15/16,18,32,16,05/03/2016
36,nottingham,jersey reds,15/16,18,15,22,04/03/2016
37,cornish pirates,doncaster knights,15/16,17,19,26,28/02/2016
38,nottingham,london scottish,15/16,17,17,3,28/02/2016
39,yorshire carnegie,bristol bears,15/16,17,7,23,28/02/2016
40,ealing trailfinders,birmingham moseley,15/16,17,55,15,27/02/2016
41,jersey reds,london welsh,15/16,17,14,21,27/02/2016
42,rotherham titans,bedford blues,15/16,17,39,31,27/02/2016
43,bedford blues,jersey reds,15/16,16,18,5,13/02/2016
44,birmingham moseley,rotherham titans,15/16,16,16,11,13/02/2016
45,doncaster knights,yorshire carnegie,15/16,16,34,28,13/02/2016
46,london scottish,cornish pirates,15/16,16,21,10,13/02/2016
47,london welsh,nottingham,15/16,16,22,18,13/02/2016
48,bristol bears,ealing trailfinders,15/16,16,63,10,12/02/2016
49,nottingham,bedford blues,15/16,15,18,20,07/02/2016
50,yorshire carnegie,cornish pirates,15/16,15,33,26,07/02/2016
51,ealing trailfinders,doncaster knights,15/16,15,17,17,06/02/2016
52,jersey reds,birmingham moseley,15/16,15,22,18,06/02/2016
53,london welsh,london scottish,15/16,15,17,19,06/02/2016
54,rotherham titans,bristol bears,15/16,15,17,36,06/02/2016
55,bristol bears,jersey reds,15/16,14,35,12,31/01/2016
56,cornish pirates,ealing trailfinders,15/16,14,30,15,31/01/2016
57,doncaster knights,rotherham titans,15/16,14,34,24,31/01/2016
58,bedford blues,london welsh,15/16,14,64,20,30/01/2016
59,birmingham moseley,nottingham,15/16,14,8,24,30/01/2016
60,london scottish,yorshire carnegie,15/16,14,22,20,30/01/2016
61,ealing trailfinders,yorshire carnegie,15/16,13,29,45,02/01/2016
62,jersey reds,doncaster knights,15/16,13,17,17,02/01/2016
63,london welsh,birmingham moseley,15/16,13,32,6,02/01/2016
64,nottingham,bristol bears,15/16,13,10,16,02/01/2016
65,rotherham titans,cornish pirates,15/16,13,21,38,02/01/2016
66,bedford blues,london scottish,15/16,13,31,19,01/01/2016
67,bristol bears,london welsh,15/16,12,35,0,27/12/2015
68,cornish pirates,jersey reds,15/16,12,16,10,27/12/2015
69,yorshire carnegie,rotherham titans,15/16,12,43,9,27/12/2015
70,birmingham moseley,bedford blues,15/16,12,24,31,26/12/2015
71,doncaster knights,nottingham,15/16,12,26,12,26/12/2015
72,london scottish,ealing trailfinders,15/16,12,22,28,26/12/2015
73,bedford blues,doncaster knights,15/16,11,13,18,05/12/2015
74,birmingham moseley,bristol bears,15/16,11,28,39,05/12/2015
75,london scottish,rotherham titans,15/16,11,21,16,05/12/2015
76,london welsh,cornish pirates,15/16,11,19,38,05/12/2015
77,jersey reds,ealing trailfinders,15/16,11,35,7,04/12/2015
78,nottingham,yorshire carnegie,15/16,11,14,13,04/12/2015
79,cornish pirates,bedford blues,15/16,10,32,31,29/11/2015
80,doncaster knights,birmingham moseley,15/16,10,34,11,28/11/2015
81,ealing trailfinders,nottingham,15/16,10,22,34,28/11/2015
82,rotherham titans,jersey reds,15/16,10,6,27,28/11/2015
83,bristol bears,london scottish,15/16,10,37,13,27/11/2015
84,yorshire carnegie,london welsh,15/16,10,7,10,27/11/2015
85,nottingham,rotherham titans,15/16,9,11,17,08/11/2015
86,bedford blues,yorshire carnegie,15/16,9,22,21,07/11/2015
87,london scottish,jersey reds,15/16,9,5,20,07/11/2015
88,london welsh,ealing trailfinders,15/16,9,3,27,07/11/2015
89,birmingham moseley,cornish pirates,15/16,9,24,19,06/11/2015
90,bristol bears,doncaster knights,15/16,9,27,39,06/11/2015
91,yorshire carnegie,birmingham moseley,15/16,8,52,19,25/10/2015
92,cornish pirates,bristol bears,15/16,8,10,40,24/10/2015
93,doncaster knights,london scottish,15/16,8,19,10,24/10/2015
94,ealing trailfinders,bedford blues,15/16,8,21,23,24/10/2015
95,rotherham titans,london welsh,15/16,8,32,16,24/10/2015
96,jersey reds,nottingham,15/16,8,27,29,23/10/2015
97,bristol bears,yorshire carnegie,15/16,7,47,42,18/10/2015
98,doncaster knights,cornish pirates,15/16,7,28,11,17/10/2015
99,london welsh,jersey reds,15/16,7,14,8,17/10/2015
100,bedford blues,rotherham titans,15/16,7,46,28,16/10/2015
101,birmingham moseley,ealing trailfinders,15/16,7,38,25,16/10/2015
102,london scottish,nottingham,15/16,7,17,18,16/10/2015
103,cornish pirates,london scottish,15/16,6,21,17,11/10/2015
