MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore,Date
1,worcester,northampton,15/16,1,13,12,16/10/2015
2,newcastle,gloucester,15/16,1,27,39,16/10/2015
3,harlequins,wasps,15/16,1,26,21,16/10/2015
4,saracens,sale,15/16,1,41,3,17/10/2015
5,bath,exeter-chiefs,15/16,1,19,17,17/10/2015
6,london-irish,leicester,15/16,1,16,28,18/10/2015
7,gloucester,saracens,15/16,2,15,17,23/10/2015
8,sale,worcester,15/16,2,27,13,23/10/2015
9,wasps,bath,15/16,2,16,9,24/10/2015
10,northampton,newcastle,15/16,2,42,16,24/10/2015
11,exeter-chiefs,london-irish,15/16,2,38,11,24/10/2015
12,leicester,harlequins,15/16,2,22,19,25/10/2025
13,saracens,london-irish,15/16,3,24,14,31/10/2015
14,gloucester,worcester,15/16,3,24,22,31/10/2015
15,bath,harlequins,15/16,3,28,38,31/10/2015
16,sale,northampton,15/16,3,20,13,01/11/2015
17,newcastle,exeter-chiefs,15/16,3,3,41,01/11/2015
18,leicester,wasps,15/16,3,24,16,01/11/2015
19,harlequins,sale,15/16,4,16,14,06/11/2015
20,worcester,newcastle,15/16,4,28,20,07/11/2015
21,northampton,saracens,15/16,4,6,12,07/11/2015
22,london-irish,bath,15/16,4,14,45,07/11/2015
23,exeter-chiefs,leicester,15/16,4,19,6,07/11/2015
24,wasps,gloucester,15/16,4,23,3,08/11/2015
25,northampton,gloucester,15/16,5,15,3,27/11/2015
26,saracens,worcester,15/16,5,48,18,28/11/2015
27,sale,newcastle,15/16,5,15,15,28/11/2015
28,london-irish,wasps,15/16,5,15,33,28/11/2015
29,exeter-chiefs,harlequins,15/16,5,26,25,28/11/2015
30,leicester,bath,15/16,5,21,11,28/11/2015
31,gloucester,sale,15/16,6,23,19,04/12/2015
32,worcester,leicester,15/16,6,20,29,05/12/2015
33,wasps,exeter-chiefs,15/16,6,27,41,05/12/2015
34,harlequins,london-irish,15/16,6,38,7,05/12/2015
35,bath,northampton,15/16,6,11,13,05/12/2015
36,newcastle,saracens,15/16,6,3,38,06/12/2015
37,london-irish,northampton,15/16,7,25,23,26/12/2015
38,leicester,newcastle,15/16,7,22,10,26/12/2015
39,exeter-chiefs,sale,15/16,7,33,17,26/12/2015
40,wasps,saracens,15/16,7,16,26,27/12/2015
41,harlequins,gloucester,15/16,7,39,39,27/12/2015
42,bath,worcester,15/16,7,21,14,27/12/2015
43,northampton,exeter-chiefs,15/16,8,8,3,01/01/2016
44,saracens,leicester,15/16,8,26,6,02/01/2016
45,sale,wasps,15/16,8,15,9,02/01/2016
46,newcastle,bath,15/16,8,19,14,02/01/2016
47,gloucester,london-irish,15/16,8,27,14,02/01/2016
48,worcester,harlequins,15/16,8,20,24,03/01/2016
49,leicester,northampton,15/16,9,30,27,09/01/2016
50,harlequins,saracens,15/16,9,39,23,09/01/2016
51,exeter-chiefs,gloucester,15/16,9,19,10,09/01/2016
52,wasps,worcester,15/16,9,32,22,10/01/2016
53,bath,sale,15/16,9,32,26,23/04/2016
54,london-irish,newcastle,15/16,9,20,15,10/01/2016
55,northampton,wasps,15/16,10,11,24,29/01/2016
56,saracens,bath,15/16,10,19,13,30/01/2016
57,sale,london-irish,15/16,10,38,10,30/01/2016
58,gloucester,leicester,15/16,10,18,19,30/01/2016
59,worcester,exeter-chiefs,15/16,10,15,30,31/01/2016
60,newcastle,harlequins,15/16,10,26,19,31/01/2016
61,bath,gloucester,15/16,11,11,15,05/02/2016
62,wasps,newcastle,15/16,11,9,8,06/02/2016
63,leicester,sale,15/16,11,3,10,06/02/2016
64,harlequins,northampton,15/16,11,23,27,06/02/2016
65,london-irish,worcester,15/16,11,20,13,07/02/2016
66,exeter-chiefs,saracens,15/16,11,11,14,07/02/2016
67,newcastle,leicester,15/16,12,26,14,12/02/2016
68,worcester,bath,15/16,12,14,16,13/02/2016
69,sale,exeter-chiefs,15/16,12,23,17,13/02/2016
70,northampton,london-irish,15/16,12,35,7,13/02/2016
71,gloucester,harlequins,15/16,12,28,6,13/02/2016
72,saracens,wasps,15/16,12,23,64,14/02/2016
73,harlequins,leicester,15/16,13,25,19,19/02/2016
74,worcester,sale,15/16,13,31,23,20/02/2016
75,saracens,gloucester,15/16,13,25,12,20/02/2016
76,bath,wasps,15/16,13,18,24,20/02/2016
77,newcastle,northampton,15/16,13,26,25,21/02/2016
78,london-irish,exeter-chiefs,15/16,13,15,22,21/02/2016
79,sale,saracens,15/16,14,36,36,27/02/2016
80,northampton,worcester,15/16,14,38,18,27/02/2016
81,gloucester,newcastle,15/16,14,32,6,27/02/2016
82,wasps,harlequins,15/16,14,42,10,28/02/2016
83,leicester,london-irish,15/16,14,47,20,28/02/2016
84,exeter-chiefs,bath,15/16,14,26,17,28/02/2016
1037,newcastle,worcester,15/16,15,14,15,04/03/2016
1038,saracens,northampton,15/16,15,15,20,05/03/2016
1039,sale,harlequins,15/16,15,29,23,05/03/2016
1040,gloucester,wasps,15/16,15,13,10,05/03/2016
1041,bath,london-irish,15/16,15,25,17,05/03/2016
1042,leicester,exeter-chiefs,15/16,15,31,27,06/03/2016
1043,harlequins,bath,15/16,16,35,28,11/03/2016
1044,worcester,gloucester,15/16,16,28,20,12/03/2016
1045,wasps,leicester,15/16,16,36,24,12/03/2016
1046,northampton,sale,15/16,16,26,11,12/03/2016
1047,london-irish,saracens,15/16,16,16,26,12/03/2016
1048,exeter-chiefs,newcastle,15/16,16,32,17,12/03/2016
1049,bath,newcastle,15/16,17,21,19,18/03/2016
1050,harlequins,worcester,15/16,17,15,21,19/03/2016
1051,wasps,sale,15/16,17,39,12,20/03/2016
1052,london-irish,gloucester,15/16,17,23,18,20/03/2016
1053,leicester,saracens,15/16,17,21,13,20/03/2016
1054,exeter-chiefs,northampton,15/16,17,20,12,20/03/2016
1055,worcester,london-irish,15/16,18,12,6,26/03/2016
1056,saracens,exeter-chiefs,15/16,18,36,18,26/03/2016
1057,gloucester,bath,15/16,18,12,17,26/03/2016
1058,sale,leicester,15/16,18,27,20,27/03/2016
1059,northampton,harlequins,15/16,18,29,23,27/03/2016
1060,newcastle,wasps,15/16,18,20,34,27/03/2016
1061,bath,saracens,15/16,19,10,30,01/04/2016
1062,london-irish,sale,15/16,19,15,30,02/04/2016
1063,leicester,gloucester,15/16,19,35,30,02/04/2016
1064,harlequins,newcastle,15/16,19,46,25,02/04/2016
1065,exeter-chiefs,worcester,15/16,19,50,12,02/04/2016
1066,wasps,northampton,15/16,19,28,6,03/04/2016
1067,gloucester,exeter-chiefs,15/16,20,16,9,15/04/2016
1068,worcester,wasps,15/16,20,35,54,16/04/2016
1069,saracens,harlequins,15/16,20,22,12,16/04/2016
1070,northampton,leicester,15/16,20,24,30,16/04/2016
1071,sale,bath,15/16,20,29,17,17/04/2016
1072,newcastle,london-irish,15/16,20,13,6,17/04/2016
1073,sale,gloucester,15/16,21,11,12,29/04/2016
1074,northampton,bath,15/16,21,15,14,30/04/2016
1075,leicester,worcester,15/16,21,31,17,30/04/2016
1076,saracens,newcastle,15/16,21,23,14,01/05/2016
1077,london-irish,harlequins,15/16,21,25,32,01/05/2016
1078,exeter-chiefs,wasps,15/16,21,24,3,01/05/2016
1079,worcester,saracens,15/16,22,19,43,07/05/2016
1080,wasps,london-irish,15/16,22,38,12,07/05/2016
1081,newcastle,sale,15/16,22,15,21,07/05/2016
1082,harlequins,exeter-chiefs,15/16,22,24,62,07/05/2016
1083,gloucester,northampton,15/16,22,20,28,07/05/2016
1084,bath,leicester,15/16,22,38,27,07/05/2016
1085,saracens,leicester,15/16,SF,44,17,21/05/2016
