MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
85,newcastle,saracens,18/19,1,21,32
86,exeter-chiefs,leicester,18/19,1,40,6
87,harlequins,sale,18/19,1,51,23
88,worcester,wasps,18/19,1,20,21
89,gloucester,northampton,18/19,1,27,16
90,bristol,bath,18/19,1,17,10
91,sale,worcester,18/19,2,21,15
92,bath,gloucester,18/19,2,31,31
93,leicester,newcastle,18/19,2,49,33
94,saracens,bristol,18/19,2,44,23
95,wasps,exeter-chiefs,18/19,2,31,42
96,northampton,harlequins,18/19,2,25,18
97,wasps,leicester,18/19,3,41,35
98,exeter-chiefs,sale,18/19,3,35,18
99,harlequins,bath,18/19,3,32,37
100,northampton,saracens,18/19,3,27,38
101,worcester,newcastle,18/19,3,20,23
102,gloucester,bristol,18/19,3,35,13
103,leicester,worcester,18/19,4,37,44
104,saracens,gloucester,18/19,4,38,15
105,bath,northampton,18/19,4,17,15
106,sale,wasps,18/19,4,13,31
107,newcastle,exeter-chiefs,18/19,4,17,24
108,leicester,sale,18/19,5,19,15
109,bristol,northampton,18/19,5,40,45
110,exeter-chiefs,worcester,18/19,5,28,11
111,gloucester,harlequins,18/19,5,25,27
112,saracens,bath,18/19,5,50,27
113,newcastle,wasps,18/19,5,22,23
114,worcester,bristol,18/19,6,52,7
115,harlequins,saracens,18/19,6,20,25
116,northampton,leicester,18/19,6,15,26
117,sale,newcastle,18/19,6,20,7
118,wasps,gloucester,18/19,6,21,35
119,bath,exeter-chiefs,18/19,6,24,39
120,bristol,exeter-chiefs,18/19,7,29,31
121,northampton,wasps,18/19,7,36,17
122,saracens,sale,18/19,7,31,25
123,bath,worcester,18/19,7,28,13
124,gloucester,leicester,18/19,7,36,15
125,harlequins,newcastle,18/19,7,20,7
126,leicester,saracens,18/19,8,22,27
127,exeter-chiefs,gloucester,18/19,8,23,6
128,sale,northampton,18/19,8,18,13
129,wasps,bristol,18/19,8,32,28
130,newcastle,bath,18/19,8,16,8
131,worcester,harlequins,18/19,8,20,13
132,bath,sale,18/19,9,7,7
133,gloucester,worcester,18/19,9,36,16
134,northampton,newcastle,18/19,9,14,16
135,saracens,wasps,18/19,9,29,6
136,bristol,leicester,18/19,9,41,10
137,harlequins,exeter-chiefs,18/19,9,28,26
138,newcastle,gloucester,18/19,10,17,20
139,wasps,bath,18/19,10,14,24
140,exeter-chiefs,saracens,18/19,10,31,13
141,leicester,harlequins,18/19,10,35,24
142,sale,bristol,18/19,10,27,10
143,worcester,northampton,18/19,10,6,32
144,bath,leicester,18/19,11,23,16
145,bristol,newcastle,18/19,11,35,28
146,harlequins,wasps,18/19,11,20,13
147,gloucester,sale,18/19,11,15,30
148,saracens,worcester,18/19,11,25,17
149,northampton,exeter-chiefs,18/19,11,31,28
150,wasps,northampton,18/19,12,27,16
151,exeter-chiefs,bristol,18/19,12,14,9
152,leicester,gloucester,18/19,12,34,16
153,newcastle,harlequins,18/19,12,17,38
154,worcester,bath,18/19,12,21,19
155,sale,saracens,18/19,12,24,18
156,bath,newcastle,18/19,13,30,13
157,harlequins,worcester,18/19,13,47,33
158,saracens,leicester,18/19,13,33,10
159,northampton,sale,18/19,13,67,17
160,bristol,wasps,18/19,13,22,29
161,gloucester,exeter-chiefs,18/19,13,24,17
162,worcester,leicester,18/19,14,17,13
163,northampton,bath,18/19,14,27,26
164,exeter-chiefs,newcastle,18/19,14,35,17
165,harlequins,bristol,18/19,14,36,26
166,wasps,sale,18/19,14,18,24
167,gloucester,sale,18/19,14,30,24
168,newcastle,worcester,18/19,15,17,6
169,bath,harlequins,18/19,15,29,31
170,leicester,wasps,18/19,15,19,14
171,sale,exeter-chiefs,18/19,15,14,20
172,saracens,northampton,18/19,15,36,17
173,bristol,gloucester,18/19,15,28,24
174,harlequins,gloucester,18/19,16,7,29
175,worcester,exeter-chiefs,18/19,16,30,33
176,northampton,bristol,18/19,16,24,26
177,wasps,newcastle,18/19,16,19,20
178,sale,leicester,18/19,16,32,5
179,bath,saracens,18/19,16,18,9
180,exeter-chiefs,bath,18/19,17,29,10
181,newcastle,sale,18/19,17,22,17
182,bristol,worcester,18/19,17,25,27
183,gloucester,wasps,18/19,17,27,14
184,saracens,harlequins,18/19,17,27,10
185,leicester,northampton,18/19,17,15,29
186,northampton,gloucester,18/19,18,31,40
187,leicester,exeter-chiefs,18/19,18,20,52
188,saracens,newcastle,18/19,18,26,12
189,wasps,worcester,18/19,18,28,16
190,bath,bristol,18/19,18,26,19
191,sale,harlequins,18/19,18,28,17
192,exeter-chiefs,wasps,18/19,19,19,26
193,bristol,saracens,18/19,19,23,21
194,gloucester,bath,18/19,19,27,23
195,harlequins,northampton,18/19,19,19,20
196,worcester,sale,18/19,19,39,17
197,newcastle,leicester,18/19,19,22,27
198,worcester,gloucester,18/19,20,27,20
199,wasps,saracens,18/19,20,14,31
200,leicester,bristol,18/19,20,20,23
201,exeter-chiefs,harlequins,18/19,20,17,15
202,newcastle,northampton,18/19,20,17,31
203,sale,bath,18/19,20,6,3
204,exeter-chiefs,wasps,18/19,21,29,17
205,bristol,saracens,18/19,21,28,19
206,gloucester,bath,18/19,21,38,10
207,harlequins,northampton,18/19,21,38,7
208,worcester,sale,18/19,21,20,20
209,newcastle,leicester,18/19,21,23,19
210,exeter-chiefs,northampton,18/19,22,40,21
211,leicester,bath,18/19,22,31,32
212,newcastle,bristol,18/19,22,12,19
213,sale,gloucester,18/19,22,46,41
214,wasps,harlequins,18/19,22,27,25
215,worcester,saracens,18/19,22,31,29
216,exeter-chiefs,northampton,18/19,SF,42,12
