HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore,
worcester,northampton,15/16,1,13,12,
newcastle,gloucester,15/16,1,27,39,
harlequins,wasps,15/16,1,26,21,
saracens,sale,15/16,1,41,3,
bath,exeter-chiefs,15/16,1,19,17,
london-irish,leicester,15/16,1,16,28,
gloucester,saracens,15/16,2,15,17,
sale,worcester,15/16,2,27,13,
wasps,bath,15/16,2,16,9,
northampton,newcastle,15/16,2,42,16,
exeter-chiefs,london-irish,15/16,2,38,11,
leicester,harlequins,15/16,2,22,19,
saracens,london-irish,15/16,3,24,14,
gloucester,worcester,15/16,3,24,22,
bath,harlequins,15/16,3,28,38,
sale,northampton,15/16,3,20,13,
newcastle,exeter-chiefs,15/16,3,3,41,
leicester,wasps,15/16,3,24,16,
harlequins,sale,15/16,4,16,14,
worcester,newcastle,15/16,4,28,20,
northampton,saracens,15/16,4,6,12,
london-irish,bath,15/16,4,14,45,
exeter-chiefs,leicester,15/16,4,19,6,
wasps,gloucester,15/16,4,23,3,
northampton,gloucester,15/16,5,15,3,
saracens,worcester,15/16,5,48,18,
sale,newcastle,15/16,5,15,15,
london-irish,wasps,15/16,5,15,33,
exeter-chiefs,harlequins,15/16,5,26,25,
leicester,bath,15/16,5,21,11,
gloucester,sale,15/16,6,23,19,
worcester,leicester,15/16,6,20,29,
wasps,exeter-chiefs,15/16,6,27,41,
harlequins,london-irish,15/16,6,38,7,
bath,northampton,15/16,6,11,13,
newcastle,saracens,15/16,6,3,38,
london-irish,northampton,15/16,7,25,23,
leicester,newcastle,15/16,7,22,10,
exeter-chiefs,sale,15/16,7,33,17,
wasps,saracens,15/16,7,16,26,
harlequins,gloucester,15/16,7,39,39,
bath,worcester,15/16,7,21,14,
northampton,exeter-chiefs,15/16,8,8,3,
saracens,leicester,15/16,8,26,6,
sale,wasps,15/16,8,15,9,
newcastle,bath,15/16,8,19,14,
gloucester,london-irish,15/16,8,27,14,
worcester,harlequins,15/16,8,20,24,
leicester,northampton,15/16,9,30,27,
harlequins,saracens,15/16,9,39,23,
exeter-chiefs,gloucester,15/16,9,19,10,
wasps,worcester,15/16,9,32,22,
bath,sale,15/16,9,32,26,
london-irish,newcastle,15/16,9,20,15,
northampton,wasps,15/16,10,11,24,
saracens,bath,15/16,10,19,13,
sale,london-irish,15/16,10,38,10,
gloucester,leicester,15/16,10,18,19,
worcester,exeter-chiefs,15/16,10,15,30,
newcastle,harlequins,15/16,10,26,19,
bath,gloucester,15/16,11,11,15,
wasps,newcastle,15/16,11,9,8,
leicester,sale,15/16,11,3,10,
harlequins,northampton,15/16,11,23,27,
london-irish,worcester,15/16,11,20,13,
exeter-chiefs,saracens,15/16,11,11,14,
newcastle,leicester,15/16,12,26,14,
worcester,bath,15/16,12,14,16,
sale,exeter-chiefs,15/16,12,23,17,
northampton,london-irish,15/16,12,35,7,
gloucester,harlequins,15/16,12,28,6,
saracens,wasps,15/16,12,23,64,
harlequins,leicester,15/16,13,25,19,
worcester,sale,15/16,13,31,23,
saracens,gloucester,15/16,13,25,12,
bath,wasps,15/16,13,18,24,
newcastle,northampton,15/16,13,26,25,
london-irish,exeter-chiefs,15/16,13,15,22,
sale,saracens,15/16,14,36,36,
northampton,worcester,15/16,14,38,18,
gloucester,newcastle,15/16,14,32,6,
wasps,harlequins,15/16,14,42,10,
leicester,london-irish,15/16,14,47,20,
exeter-chiefs,bath,15/16,14,26,17,
